Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Career_Level,Education,Salary,Job_Category,Skills,Gender,Job_Category_Count,min_experience,max_experience,City,Country,Applicant_per_position
(Customs Clearance - Expeditor) officer - 6 Months Contract,Full Time,on-site,Sukari Gold Mines,"Alexandria, Egypt",28,56,4,Experienced (Non-Manager),Not Specified,19000 To 19000 EGP Per Month,Accounting/Finance,"['customer', 'brokerage', 'customer support', 'import', 'export', 'shipping']",both,901,1,3,Alexandria, Egypt,14
1) Accountant - 2) internal Auditor -3) Cost Accountant - 4) Financial Accountant,Full Time,on-site,Green Foods,"Sheraton, Cairo",28,342,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'auditing', 'finance', 'accounts receivable']",both,901,2,4,Sheraton, Cairo,342
A Credit Control/Accounts Receivable,Full Time,on-site,Alupco Aluminum Products,"Nasr City, Cairo",28,63,1,Experienced (Non-Manager),Not Specified,20000 To 25000 SAR Per Month,Accounting/Finance,"['accounting', 'accounts', 'accounts receivable', 'credit']",both,901,2,3,Nasr City, Cairo,63
A/P Accountant,Full Time,on-site,Groupe- Atlantic,"10th of Ramadan City, Cairo",28,93,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'commerce', 'ap', 'finance', 'ms']",both,901,2,4,10th of Ramadan City, Cairo,93
A/P Accountant,Full Time,on-site,New Mena Plast,"Obour City, Cairo",18,92,1,Experienced (Non-Manager),Not Specified,0 To 0 EGP Per Month,Accounting/Finance,"['accountant', 'accounting', 'ap', 'a/p', 'finance']",both,901,2,5,Obour City, Cairo,92
A/R accountant,Full Time,on-site,sofipack,"Badr City, Cairo",56,89,2,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Confidential",Accounting/Finance,"['ar', 'accounting']",both,901,6,9,Badr City, Cairo,44
AP Accountant,Full Time,on-site,WUZZUF,"Maadi, Cairo",24,184,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'finance', 'financial analysis', 'treasury', 'treasury accounting', 'ap', 'accounts payable', 'excel']",both,901,1,3,Maadi, Cairo,184
AP Accountant,Full Time,on-site,Not Specified,"6th of October, Giza",56,97,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounting principles', 'finance', 'financial analysis', 'vendor', 'ap', 'gl', 'erp system', 'enterprise resource planning', 'excel', 'microsoft', 'sap', 'communication', 'english']",both,901,2,3,6th of October, Giza,97
AP Accountant,Full Time,on-site,LEEDS FIT-OUT,"Sheikh Zayed, Giza",56,109,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'ap', 'finance', 'financial analysis', 'excel', 'financial accounting']",both,901,3,5,Sheikh Zayed, Giza,109
AP Accountant ( English Speaker),Full Time,on-site,London International Patient Services,"Sheraton, Cairo",56,56,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounts payable', 'microsoft excel', 'communication', 'finance', 'microsoft', 'critical thinking', 'bookkeeping', 'accounting', 'accounting principles', 'ap']",both,901,1,2,Sheraton, Cairo,56
