Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Career_Level,Education,Salary,Job_Category,Skills,Gender,Job_Category_Count,min_experience,max_experience,City,Applicant_per_position
(Customs Clearance - Expeditor) officer - 6 Months Contract,Full Time,on-site,Sukari Gold Mines,Alexandria,28,56.0,4,Experienced (Non-Manager),Not Specified,19000 To 19000 EGP Per Month,Accounting/Finance,"['customer', 'brokerage', 'customer support', 'import', 'export', 'shipping']",both,901,1.0,3.0,Alexandria,14.0
1) Accountant - 2) internal Auditor -3) Cost Accountant - 4) Financial Accountant,Full Time,on-site,Green Foods,cairo,28,342.0,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'auditing', 'finance', 'accounts receivable']",both,901,2.0,4.0,Sheraton,342.0
A Credit Control/Accounts Receivable,Full Time,on-site,Alupco Aluminum Products,cairo,28,63.0,1,Experienced (Non-Manager),Not Specified,20000 To 25000 SAR Per Month,Accounting/Finance,"['accounting', 'accounts', 'accounts receivable', 'credit']",both,901,2.0,3.0,Nasr City,63.0
A/P Accountant,Full Time,on-site,Groupe- Atlantic,cairo,28,93.0,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'commerce', 'ap', 'finance', 'ms']",both,901,2.0,4.0,10th of Ramadan City,93.0
A/P Accountant,Full Time,on-site,New Mena Plast,cairo,18,92.0,1,Experienced (Non-Manager),Not Specified,0 To 0 EGP Per Month,Accounting/Finance,"['accountant', 'accounting', 'ap', 'a/p', 'finance']",both,901,2.0,5.0,Obour City,92.0
A/R accountant,Full Time,on-site,sofipack,cairo,56,89.0,2,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Confidential",Accounting/Finance,"['ar', 'accounting']",both,901,6.0,9.0,Badr City,44.0
AP Accountant,Full Time,on-site,WUZZUF,cairo,24,184.0,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'finance', 'financial analysis', 'treasury', 'treasury accounting', 'ap', 'accounts payable', 'excel']",both,901,1.0,3.0,Maadi,184.0
AP Accountant,Full Time,on-site,Not Specified,Giza,56,97.0,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounting principles', 'finance', 'financial analysis', 'vendor', 'ap', 'gl', 'erp system', 'enterprise resource planning', 'excel', 'microsoft', 'sap', 'communication', 'english']",both,901,2.0,3.0,6th of October,97.0
AP Accountant,Full Time,on-site,LEEDS FIT-OUT,Giza,56,109.0,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'ap', 'finance', 'financial analysis', 'excel', 'financial accounting']",both,901,3.0,5.0,Sheikh Zayed,109.0
AP Accountant ( English Speaker),Full Time,on-site,London International Patient Services,cairo,56,56.0,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounts payable', 'microsoft excel', 'communication', 'finance', 'microsoft', 'critical thinking', 'bookkeeping', 'accounting', 'accounting principles', 'ap']",both,901,1.0,2.0,Sheraton,56.0
AP Accountant specialist,Full Time,on-site,Ostool Transport,Giza,28,77.0,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'certified accountant', 'ap', 'english', 'microsoft', 'enterprise resource planning', 'finance', 'microsoft excel']",both,901,4.0,6.0,6th of October,77.0
AP Senior Accountant,Full Time,on-site,Not Specified,Giza,10,140.0,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounts payable', 'accounts reconciliation']",both,901,5.0,10.0,6th of October,140.0
AP Team Leader,Full Time,on-site,Kandil Glass,cairo,4,75.0,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounting procedures', 'commerce', 'finance', 'financial']",both,901,7.0,10.0,Katameya,75.0
AP/AR Accountant,Full Time,on-site,Egypt Kuwait Holding,Giza,3,94.0,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accounting', 'ar', 'general ledger', 'oracle']",both,901,1.0,3.0,6th of October,94.0
AR Accountant,Full Time,on-site,LA VISTA Developments,cairo,5,90.0,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'commerce', 'ar', 'english', 'finance', 'financial analysis', 'real estate']",both,901,6.0,8.0,Cairo,90.0
AR Accountant,Full Time,on-site,Not Specified,cairo,6,41.0,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accounting', 'erp systems', 'finance', 'ar', 'accounts receivable']",both,901,1.0,3.0,Mokattam,41.0
AR Accountant,Full Time,on-site,Carina Wear,cairo,28,450.0,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,,Accounting/Finance,"['accounting', 'accounting software', 'accounts receivable', 'ar', 'excel', 'finance', 'financial analysis', 'financial reporting', 'microsoft', 'receivable', 'financial transactions', 'invoice processing', 'payment collections', 'reconciliation', 'financial statements', 'billing & invoicing', 'account reconciliation']",Male,901,,,New Cairo,450.0
AR Accountant,Full Time,on-site,FlexFilms Egypt,Giza,3,116.0,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'ar', 'collection', 'finance', 'enterprise resource planning']",both,901,2.0,5.0,6th of October,116.0
AR Accountant,Full Time,on-site,Midea Group,Giza,56,245.0,2,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'ar', 'ar accountant', 'erp systems', 'excel', 'finance', 'accounts receivable', 'detail oriented', 'problem solving', 'english', 'communication', 'ifrs', 'enterprise resource planning']",both,901,2.0,4.0,Smart Village,122.0
AR Accountant,Full Time,on-site,El Mansour Development,cairo,28,113.0,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'ar', 'enterprise resource planning', 'excel', 'finance', 'financial analysis', 'microsoft', 'real estate']",both,901,2.0,5.0,Mokattam,113.0
AR Accountant,Full Time,on-site,Leeds,Giza,25,139.0,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accounting', 'finance', 'financial', 'analytical', 'microsoft', 'oracle']",both,901,2.0,4.0,Smart Village,139.0
AR Accountant,Full Time,on-site,Cairoscan,Giza,56,309.0,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'accounts receivable', 'finance', 'financial', 'financial accounting', 'financial analysis', 'general ledger', 'microsoft excel', 'excel', 'software', 'ms']",both,901,1.0,3.0,Mohandessin,309.0
AR Accountant,Full Time,on-site,WUZZUF,cairo,24,166.0,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'accounts receivable', 'english', 'enterprise resource planning', 'ar', 'excel', 'finance', 'financial', 'financial analysis', 'oracle', 'receivable', 'sap', 'tax', 'reporting']",both,901,1.0,3.0,Maadi,166.0
AR Accountant,Full Time,on-site,Alfa Healthcare Egypt,cairo,12,137.0,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['ar accountant', 'accounts receivable', 'accounts reconciliation', 'tax', 'excel', 'financial reporting', 'accounting', 'ar', 'finance', 'financial analysis', 'accountant']",Males Preferred,901,3.0,5.0,New Cairo,137.0
