Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Experience,Career_Level,Education,Salary,Job_Category,Skills
Talent Acquisition Specialist,Full Time,On-site,Egypt Best Properties,"New Cairo, Cairo",Posted 2 months ago,48,1 open position,2 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,Human Resources,"['Applicant Tracking Systems', 'Communication', 'Human Resources', 'Human Resources (HR)', 'human resources management', 'Management', 'Recruitment', 'Social Media', 'Talent', 'Talent acquisition', 'Recruiting', 'Interviewing']"
Project Manager – Physical Security Systems,Full Time,On-site,CompuGeorge,"Giza, Egypt",Posted 2 months ago,53,1 open position,7 To 12 Years,Manager,Bachelor'S Degree,"Confidential, Bonus Profit Share Car Allowance",Operations/Management,"['Computer Science', 'Information Technology (IT)', 'Project Management', 'Project', 'Engineering', 'communications', 'CCTV', 'Access Control System', 'Physical security systems', 'Management', 'English', 'AutoCAD', 'Electronics', 'PMP', 'Security', 'Microsoft Office']"
Logistic Specialist,Full Time,On-site,Adamco Pharm,"6th of October, Giza",Posted 26 days ago,92,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Logistics/Supply Chain,"['Logistics', 'Supply Chain', 'Communication skills']"
Marketer,Full Time,On-site,,"6th of October, Giza",Posted 17 days ago,28,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Marketing/PR/Advertising,"['Marketer', 'Marketing', 'Social Media', 'media', 'digital marketing', 'Digital Marketing', 'Marketing Strategies', 'Search Engine Optimization', 'Search Engine', 'social', 'E-Marketing']"
Finance Manager,Full Time,On-site,,"10th of Ramadan City, Cairo",Posted 1 month ago,256,1 open position,5 To 10 Years,Manager,Not Specified,Confidential,Accounting/Finance,"['CFA', 'Financial Management', 'Financial Analysis', 'Finance', 'Accounting']"
Reception Engineer,Full Time,On-site,ECRAL,"Nasr City, Cairo",Posted 2 months ago,24,3 open positions,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['Mechanical Engineering', 'Customer Service', 'Automotive', 'Customer Care', 'Reception', 'Engineering']"
Sales coordinator and secretarial,Full Time,On-site,,"Cairo, Egypt",Posted 2 months ago,32,1 open position,1 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Administration,"['Administration', 'Computer Skills', 'Coordinator', 'Sales coordinator', 'MS Office']"
Mid Level Backend Developer{.Net Core}..,Full Time,On-site,RTR Software Solutions,"Nasr City, Cairo",Posted 2 months ago,143,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,"['ASP.Net', 'Agile', 'C#', 'Communication skills', 'Computer Science', 'Git', 'Azure', 'Information Technology (IT)', 'Microsoft', 'Microsoft SQL Server', 'SQL', 'Software']"
Project Commercial Manager QS,Freelance / Project,On-site,Saint-Gobain,"Ain Sokhna, Suez",Posted 1 month ago,58,1 open position,10 To 12 Years,Manager,Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['Engineering', 'QS', 'English', 'Construction', 'Communication', 'Architecture', 'Civil Engineering', 'Project Management', 'Communication skills', 'Contractor', 'Projects']"
Sales automotive paints oem,Full Time,On-site,El Teriak Industrial Group,"Zamalek, Cairo",Posted 19 days ago,13,1 open position,4 To 7 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['Automotive', 'Customer Care', 'Customer Service', 'Sales', 'oem']"
Technical Office Engineer,Full Time,On-site,Technomaster For Metal Industries (Technometal),"10th of Ramadan City, Sharqia",Posted 17 days ago,29,2 open positions,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Mechanical/Electrical,"['AutoCAD', 'CAD', 'SolidWorks', 'SAP', 'Production', 'Analysis', 'Engineering', 'Microsoft Office', 'Process', 'TO']"
Senior Marketing Consultant,Full Time,On-site,Etqan Consultancy,"New Cairo, Cairo",Posted 10 days ago,10,1 open position,5 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Marketing/PR/Advertising,"['Marketing', 'Consulting', 'Branding', 'Real Estate', 'Communication']"
Graphic Designer,Full Time,Hybrid,Babeleye,"Maadi, Cairo",Posted 16 days ago,104,1 open position,1 To 2 Years,Experienced (Non-Manager),Bachelor'S Degree,8000 To 10000 EGP Per Month,Creative/Design/Art,"['Adobe illustrator', 'Adobe Indesign', 'Adobe Photoshop', 'Applied Arts', 'Design', 'Fine Arts', 'Graphic Design', 'photoshop', 'illustrator']"
Application Developer,Full Time,On-site,Xceed Contact Center,"Maadi, Cairo",Posted 26 days ago,135,1 open position,0 To 1 Year,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Installation/Maintenance/Repair,"['computer', 'Computer Science', 'Engineering', 'Software Engineering', 'Software', 'Software Development', 'Information Technology (IT)']"
HR Operations Specialist,Full Time,On-site,Elabd Foods,"Downtown, Cairo",Posted 1 month ago,208,1 open position,1 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Bonuses, Medical And Social Insurance.",Human Resources,"['HR', 'HR Specialist', 'Human Resources (HR)', 'Human Resources', 'Personnel', 'Labor', 'Law', 'Communication', 'Payroll']"
Senior Electrical Maintenance Engineer,Full Time,On-site,EGIC,"Beni Suef, Beni Suef",Posted 1 month ago,39,1 open position,4 To 6 Years,Experienced (Non-Manager),Not Specified,Confidential,Installation/Maintenance/Repair,"['Electrical Engineering', 'Engineering', 'Control Panels Design', 'PLC Design', 'Programming', 'Maintenance']"
Python Backend Developer – AI & Chatbots,Full Time,On-site,OTIC,"New Cairo, Cairo",Posted 3 days ago,59,1 open position,2 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,"['Python Backend Developer', 'Database', 'Computer Science', 'Azure', 'APIs', 'Software Development', 'Oracle', 'Python', 'Django', 'AWS', 'AI chatbots', 'virtual assistants', 'Flask', 'Information Technology (IT)', 'Software Engineering']"
Customer Service Agent - French,Full Time,On-site,Great Foods,"Bourj Alarab, Alexandria",Posted 2 months ago,28,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Customer Service/Support,"['Agent', 'Customer Support', 'Customer', 'Customer Service', 'Customer service agent', 'Customer Care', 'Call Center', 'french', 'English', 'CRM', 'Communication', 'Administration']"
Human Resources Generalist,Full Time,On-site,,"Alsadat City, Monufya",Posted 25 days ago,37,1 open position,1 To 3 Years,Experienced (Non-Manager),Not Specified,"Confidential, Competitive Salary, Commensurate With Experience, Individual Private Medical Insurance, Two Days Off.",Human Resources,"['HR', 'Human Resources (HR)', 'Labor Laws', 'Labor', 'Recruitment', 'Skills', 'Communication', 'Communication skills', 'Personnel', 'MS Office', 'Microsoft Office']"
International Operations Coordinator,Full Time,On-site,TUT E-commerce,"Maadi, Cairo",Posted 2 months ago,82,1 open position,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Logistics/Supply Chain,"['Logistics', 'Operations', 'business', 'Communication', 'Communication skills', 'Management', 'Project Management', 'Projects', 'Microsoft Office']"
Production Engineer,Full Time,On-site,Euromed for Medical industries,"Nasr City, Cairo",Posted 1 month ago,108,1 open position,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Manufacturing/Production,"['Engineering', 'Leadership', 'Manufacturing', 'Mechanical Engineering', 'Production', 'Skills']"
Fleet Manager,Full Time,On-site,packtec,"6th of October, Giza",Posted 23 days ago,131,1 open position,More Than 10 Years,Manager,Bachelor'S Degree,Male,Administration,"['Administration', 'facilities', 'facilities management', 'Leadership', 'Microsoft Office', 'Fleet', 'Fleet Management', 'Industry']"
