Title,Company,Working Place,Location,Post Date,Number of Positions,Applicants,Career Level,Education,Salary,Job Category,Skills,Job Description
Senior Graphic Designer,Full Time,On-site,N/A,Posted 6 days ago,39,1 open position,4 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,Adobe Photoshop Adobe Illustrator Adobe Indesign Graphic Design Design Creative Adobe Creative Suite illustrator English adobe photoshop indesign Writing
Graphic Desginer& Content Creator,Full Time,On-site,,Posted 15 days ago,22,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Creative/Design/Art,Content Creation content creator Design Graphic Graphic Design Marketing Social Media media Editing Creative Content
Sales Manager,Full Time,Hybrid,,Posted 2 months ago,63,1 open position,More Than 7 Years,Manager,Not Specified,"Confidential, Commissions",Customer Service/Support,Management Medical Sales People Management Sales Sales Manager sales skills Sales Target business Customer Service
Mechanical Sales Representative,Full Time,On-site,,Posted 2 months ago,10,3 open positions,More Than 3 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, 0.5% Commission Insurance",Sales/Retail,Industrial Sales Sales representative sales skills Sales Target Sales AutoCAD Outdoor Customer Service excel generators Outdoor Sales Pumps Skills Steel
Area Sales Manager (Alexandria Region),Full Time,On-site,,Posted 16 days ago,42,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Customer Service/Support,Administration Business Administration Communication Customer Service Leadership Management Operations Retail Sales sales skills Sales Target business
Site MEP Engineer,Full Time,On-site,,Posted 2 months ago,34,3 open positions,5 To 12 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Mechanical/Electrical,Site Engineer Electrical Engineering Construction Contracting Medium Voltage Low voltage Low current Technical Office
Quality Specialist,Full Time,On-site,,Posted 11 days ago,25,1 open position,5 To 7 Years,Experienced (Non-Manager),Not Specified,Confidential,Quality,Control Engineering quality Quality Assurance Quality Control Supervisor Communication
SR.Social Media Specialist,Full Time,Hybrid,,Posted 1 month ago,53,1 open position,2 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,Marketing media Content Creative Social Media Communication skills Platform Management Social Media Strategy Social Analytics
Medical Representative,Full Time,On-site,,Posted 1 day ago,5,2 open positions,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Medical/Healthcare,Medical representative Sales Pharmacy Medical Communication Negotiation negotiation skills Pharmaceutical Pharmaceutical Sales Representative sales skills MedicalRepresentative Medical Rep
Finishing engineer,Full Time,On-site,,Posted 1 month ago,75,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,"Confidential, 0",Engineering - Construction/Civil/Architecture,engineer Finishing Engineer Finishing Skills Engineering Architecture
Application Engineer,Full Time,On-site,,Posted 1 month ago,13,2 open positions,2 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,Installation/Maintenance/Repair,CAD Engineering Mechatronics Production Communication Presentation Skills
Sales Representative,Full Time,On-site,,Posted 2 months ago,30,1 open position,0 To 5 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Female,Sales/Retail,sales job jobs sales girls Customer Service sales skills Sales Target
Web Designer,Freelance / Project,Remote,,Posted 1 month ago,113,1 open position,9 To 13 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,Web Design Web Development Computer Science Design Development CSS Graphic Design HTML Agile JavaScript Scrum
"Etisalat UAE English Account (B1+) , Customer Service Representative , Maadi",Full Time,On-site,Etisalat Egypt,Posted 9 days ago,17,1 open position,Not Specified,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,10000 To 15000 EGP Per Month,Administration,Computer Skills Customer Care Customer Service Customer Support English Back office English Instructing Business English Teaching English as a Foreign Language English Translation Translation B2 Telecommunication Technical Support Call Center Outbound Calls                   
BIM Coordinator - Interior,Full Time,On-site,,Posted 1 month ago,14,1 open position,More Than 7 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Attractive Salary Paid In USD",Engineering - Construction/Civil/Architecture,Interior Design BIM Revit Engineering Design
Production Engineer,Full Time,On-site,,Posted 1 month ago,22,1 open position,5 To 7 Years,Manager,Bachelor'S Degree,Male,Manufacturing/Production,Manufacturing Production Process
Full Stack Developer,Full Time,Remote,,Posted 2 months ago,58,1 open position,More Than 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,Docker Software Development MongoDB API AWS Computer Science Design JavaScript Development Node.js Software
Expert GL Accountant,Part Time,Remote,N/A,Posted 2 months ago,118,1 open position,More Than 10 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,Finance Financial Analysis Market Analysis Accounting General Ledger (GL)
Shop Drawing Engineer – Furniture Specialization,Full Time,On-site,,Posted 14 days ago,17,1 open position,3 To 6 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,AutoCAD Drawings Engineering Furniture Shop Drawings Technical Drawings quality Architecture technical
Motion Graphic Designer,Full Time,On-site,,Posted 2 months ago,40,1 open position,4 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,Adobe Photoshop Design Marketing Creative Social Media Graphic Design photoshop Adobe After Effects Digital Marketing Adobe illustrator Video Editing media digital marketing
Site Accountant,Full Time,On-site,,Posted 2 months ago,71,6 open positions,4 To 10 Years,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,accountant Accounting Finance Financial Analysis Construction SITE ACCOUNTANT Site Oracle
Design Architect,Full Time,On-site,,Posted 1 month ago,74,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Female,Creative/Design/Art,Adobe Creative Suite AutoCAD Creative Design Architectural Design sketchup Revit
Performance Marketing Specialist,Full Time,Hybrid,,Posted 2 months ago,26,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,Creative Communication Digital Marketing Digital digital marketing E-Marketing Marketing Management media PPC Project Management social Social Media
Warehouse Supervisor,Full Time,On-site,N/A,Posted 2 months ago,69,1 open position,4 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Manufacturing/Production,FMCG Oracle Warehouse Warehousing Logistics
N/A,N/A,N/A,N/A,"Employers and Recruiters, go to our",N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Graphic Designer,Full Time,On-site,,Posted 1 month ago,20,1 open position,3 To 5 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Creative/Design/Art,Adobe illustrator Adobe Photoshop Design Motion Graphics photoshop Video Editing Graphic Design Graphic Digital Design Adobe Creative Suite illustrator Adobe Indesign Typography Layout Color Theory AI Motion Graphic Design Adobe Premiere Pro
Senior Mechanical Technical Office Engineer,Full Time,On-site,,Posted 2 months ago,40,1 open position,4 To 8 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,Analysis AutoCAD 3D Design Engineering Mechanical Engineering Mechanical Microsoft Office Power technical Technical Office
Accountant,Full Time,On-site,,Posted 1 day ago,23,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,Accounting Finance Financial Management excel
Graphic Designer,Full Time,Remote,,Posted 2 months ago,188,1 open position,1 To 2 Years,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,Adobe illustrator Adobe Photoshop Arts Design Fine Arts Graphic Graphic Design illustrator indesign photoshop Software
Full Stack Developer,Full Time,On-site,,Posted 29 days ago,36,2 open positions,5 To 6 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,developer Full Stack Developer Full Stack Computer Science Stack Software Development Information Technology (IT) CSS Git HTML5 JavaScript Agile Engineering jQuery MySQL PHP
Accountant,Full Time,On-site,,Posted 11 days ago,510,1 open position,0 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,Accounting Accounting principles Egyptian Tax English section English Financial Management Oracle Tax TAX regulations Financial Analysis Finance
Social Media Specialist,Full Time,On-site,N/A,Posted 2 months ago,61,1 open position,1 To 6 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Marketing/PR/Advertising,Marketing Content Creation facebook Social Media
